ProductName,Revenue
Jumbo Bag Vintage Leaf,67682.19
Zinc Metal Heart Decoration,67676.84
Bathroom Metal Sign,67674.54
Wooden School Colouring Set,67373.41
Grand Chocolatecandle,67281.11
Red Woolly Hottie White Heart,67210.1
Scottie Dog Hot Water Bottle,66809.3
Set Of 3 Butterfly Cookie Cutters,66486.12999999999
Set Of 72 Retrospot Paper Doilies,66414.51999999999
Pink Polkadot Wrap,66315.5
Set Of 12 Mini Loaf Baking Cases,65839.56
Retrospot Tea Set Ceramic 11 Pc,65585.11
Jumbo Bag 50'S Christmas,65364.3
Edwardian Parasol Natural,65214.770000000004
Childrens Cutlery Retrospot Red,64694.1
Jumbo Bag Scandinavian Blue Paisley,64544.26
Set Of 3 Notebooks In Parcel,64062.49
Set 2 Tea Towels I Love London,64059.130000000005
Set Of 60 Vintage Leaf Cake Cases,63932.5
Red Stripe Ceramic Drawer Knob,63803.27999999999
Balloon Water Bomb Pack Of 35,63545.619999999995
Doormat Union Flag,63469.57
Lunch Bag Spaceboy Design,63073.75
Lunch Bag Pink Polkadot,62937.7
Charlotte Bag Vintage Alphabet,62688.49
Small Ceramic Top Storage Jar,62584.91
Heart Filigree Dove Small,62542.03999999999
Doormat New England,62417.14
Home Sweet Home Mug,62093.5
Save The Planet Mug,61688.02
Revolver Wooden Ruler,61635.229999999996
Jumbo Bag Woodland Animals,61368.94
Travel Sewing Kit,61079.96
Doormat Fairy Cake,61015.39
Wrap Pink Fairy Cakes,60965.75
Blue Stripe Ceramic Drawer Knob,60816.7
Skulls And Crossbones Wrap,60816.5
Pens Assorted Spaceball,60759.43
36 Doilies Vintage Christmas,60721.52
Essential Balm 35g Tin In Envelope,60706.89
Lunch Bag Woodland,60390.63
Black Heart Card Holder,60381.1
Set/10 Pink Polkadot Party Candles,60349.829999999994
Paper Chain Kit Retrospot,59962.78
Chinese Dragon Paper Lanterns,59147.7
Set Of 4 Knick Knack Tins Doily,57897.509999999995
Christmas Hanging Star With Bell,57823.71000000001
White Spot Red Ceramic Drawer Knob,57812.939999999995
Red Retrospot Bowl,57794.09
Feltcraft Doll Molly,57395.39
Pack Of 12 Woodland Tissues,57374.29
Hand Warmer Babushka Design,57366.76
Charlotte Bag Dolly Girl Design,56914.03999999999
Zinc Folkart Sleigh Bells,56876.28
Cacti T-Light Candles,56876.24
Doormat Hearts,56676.62
Blue Vintage Spot Beaker,56409.189999999995
Card Billboard Font,56352.18
Vintage Union Jack Memoboard,56211.94
White Skull Hot Water Bottle,56174.64
Bag 250g Swirly Marbles,56137.3
Pack Of 60 Mushroom Cake Cases,56021.38
Hand Warmer Union Jack,55902.94
Set Of 6 Tea Time Baking Cases,55815.27
Swallows Greeting Card,55731.03
Childrens Cutlery Polkadot Blue,55681.03
Colouring Pencils Brown Tube,55471.14
Wrap Red Apples,55363.29
Zinc T-Light Holder Stars Small,55344.28
4 Traditional Spinning Tops,55341.87
Pack Of 12 Skull Tissues,55305.21
Painted Metal Pears Assorted,55127.35
"Record Frame 7"" Single Size",55039.810000000005
Wrap Poppies Design,54889.0
Wooden Tree Christmas Scandinavian,54626.25
Small White Heart Of Wicker,54544.94
Silver Hanging T-Light Holder,54310.12
Plasters In Tin Vintage Paisley,54064.35
Doormat Fancy Font Home Sweet Home,54010.16
Pink Vintage Spot Beaker,53895.12
London Bus Coffee Mug,53759.65
Red Retrospot Shopper Bag,53526.869999999995
Small Dolly Mix Design Orange Bowl,53390.83
Jumbo Bag Spaceboy Design,53313.49
Paper Bunting White Lace,53199.09
Pens Assorted Funky Jeweled,52928.29
Vintage Union Jack Bunting,52919.15
Retrospot Party Bag + Sticker Set,52822.86
Regency Teapot Roses,52821.13
Heart Decoration Rustic Hanging,52684.26
Hanging Heart With Bell,52504.75
Red Retrospot Picnic Bag,52446.119999999995
Hand Warmer Red Retrospot,52242.46000000001
Set Of 20 Kids Cookie Cutters,52055.530000000006
Green Vintage Spot Beaker,51798.34
Area Patrolled Metal Sign,51550.43
Retrospot Heart Hot Water Bottle,51442.21
Small Glass Heart Trinket Pot,51401.35
Fancy Font Birthday Card,51115.56
Set 40 Heart Shape Petit Four Cases,51071.18
You're Confusing Me Metal Sign,50868.65
Blue Spot Ceramic Drawer Knob,50642.53999999999
White Spot Blue Ceramic Drawer Knob,50562.119999999995
Set Of 72 Pink Heart Paper Doilies,50542.47
Red Spot Ceramic Drawer Knob,50517.77
Sleeping Cat Erasers,50339.520000000004
Magic Drawing Slate Purdey,50154.59
Travel Card Wallet I Love London,50120.7
Travel Card Wallet Vintage Ticket,50091.15
Sombrero,49934.23
Ladies & Gentlemen Metal Sign,49667.7
Strawberry Lunch Box With Cutlery,49589.21
Hot Water Bottle I Am So Poorly,49374.56
Plasters In Tin Skulls,49330.79
Set 12 Retro White Chalk Sticks,48505.58
Pottering In The Shed Metal Sign,48364.69
Beware Of The Cat Metal Sign,48267.97
Set Of 6 Snack Loaf Baking Cases,47972.21
Pack Of 20 Napkins Red Apples,47774.99
Wrap Christmas Village,47653.94
Heart Ivory Trellis Small,47576.99
Christmas Craft Little Friends,47567.200000000004
Wrap I Love London,47546.68
Pantry Washing Up Brush,47358.75
Lunch Bag Alphabet Design,47238.33
Empire Design Rosette,47195.68
Magic Drawing Slate Spaceboy,47094.07
Knitted Union Flag Hot Water Bottle,47084.59
Giraffe Wooden Ruler,46779.59
Feltcraft Cushion Owl,46778.68
Hand Warmer Red Love Heart,46386.55
Moroccan Tea Glass,46375.28
Tea Party Birthday Card,46368.979999999996
Red Retrospot Oven Glove,46222.619999999995
Card Dolly Girl,46200.759999999995
Jingle Bell Heart Decoration,46099.26
Lovebird Hanging Decoration White,45943.95
Set/10 Blue Polkadot Party Candles,45789.99
Wrap 50'S Christmas,45687.35
Mini Jigsaw Spaceboy,45393.509999999995
Jazz Hearts Purse Notebook,45254.21000000001
Box Of 6 Mini Vintage Crackers,45071.8
Ceramic Strawberry Cake Money Bank,44979.58
12 Pencil Small Tube Woodland,44942.51
Regency Tea Plate Pink,44924.17
Chocolate This Way Metal Sign,44871.19
Home Building Block Word,44826.71
Box Of 6 Mini 50'S Crackers,44742.130000000005
Filigris Heart With Butterfly,44664.649999999994
3 Hearts Hanging Decoration Rustic,44656.21
Star Decoration Painted Zinc,44551.28
Tea Bag Plate Red Retrospot,44475.159999999996
Pink Drawer Knob Acrylic Edwardian,44263.77
Childrens Apron Spaceboy Design,44250.32
Circus Parade Lunch Box,44202.71
Set 12 Kids White Chalk Sticks,43943.33
Vintage Doily Travel Sewing Kit,43913.85
Grey Heart Hot Water Bottle,43897.06
Memo Board Retrospot Design,43791.15
Red Retrospot Cup,43693.43
Jumbo Bag Pears,43549.42
Regency Sugar Bowl Green,43442.88
Pack Of 12 Coloured Pencils,43366.61
Fawn Blue Hot Water Bottle,43225.39
Wrap Gingham Rose,43204.65
Photo Frame Cornice,43195.03
Feltcraft Cushion Rabbit,43188.25
Jam Jar With Pink Lid,43007.46
Ivory Hanging Decoration Heart,42842.549999999996
Wrap Suki And Friends,42760.0
Pottering Mug,42642.5
Set Of 3 Wooden Heart Decorations,42604.119999999995
Pack Of 12 Pink Polkadot Tissues,42602.700000000004
6 Gift Tags Vintage Christmas,42596.79
Set/3 Red Gingham Rose Storage Box,42455.020000000004
Toy Tidy Pink Polkadot,42307.4
36 Pencils Tube Red Retrospot,42264.78
Assorted Incense Pack,41878.8
Toilet Sign Occupied Or Vacant,41871.829999999994
Christmas Toilet Roll,41848.33
Set Of 6 Ribbons Vintage Christmas,41840.79
Regency Milk Jug Pink,41793.45
Vintage Christmas Bunting,41669.75
Pink Polkadot Bowl,41607.9
Jingle Bell Heart Antique Silver,41467.93
Red Polkadot Beaker,41261.07
Toilet Metal Sign,41247.51
Bundle Of 3 Alphabet Exercise Books,41010.11
Pack Of 12 50'S Christmas Tissues,41006.100000000006
Red Retrospot Peg Bag,40923.72
Robot Birthday Card,40801.26
Party Metal Sign,40362.61
12 Pencils Tall Tube Posy,40286.26
Card Motorbike Santa,40241.36
Lunch Bag Dolly Girl Design,40202.39
Metal Sign Take It Or Leave It,40047.35
Wrap Billboard Fonts Design,39963.26
6 Gift Tags 50'S Christmas,39804.64
Tea Time Party Bunting,39696.08
Feather Pen Hot Pink,39652.71
Blue Polkadot Cup,39545.5
Playing Cards Keep Calm & Carry On,39493.049999999996
Set Of 3 Hanging Owls Ollie Beak,39487.28
Alarm Clock Bakelike Ivory,39479.39
Cowboys And Indians Birthday Card,39470.369999999995
Pink Fairy Cake Childrens Apron,39384.27
Small Marshmallows Pink Bowl,39262.56
Lunch Box With Cutlery Retrospot,39181.409999999996
Suki Shoulder Bag,39034.909999999996
Cream Sweetheart Mini Chest,39000.57
Red Retrospot Plate,38939.18
Large White Heart Of Wicker,38937.23
Vintage 2 Metre Folding Ruler,38895.69
Assorted Colour T-Light Holder,38882.58
Feltcraft Cushion Butterfly,38716.590000000004
3 Drawer Antique White Wood Cabinet,38695.79
Jumbo Bag Vintage Christmas,38567.4
Red Retrospot Cake Stand,38544.52
Cartoon Pencil Sharpeners,38454.21
Lunch Bag Vintage Leaf Design,38214.799999999996
Roll Wrap 50'S Christmas,38068.0
Wood 2 Drawer Cabinet White Finish,38042.07
Pink Heart Shape Egg Frying Pan,38025.49
Photo Cube,38020.03
Hanging Metal Heart Lantern,37914.43
Angel Decoration 3 Buttons,37852.35
Pantry Magnetic Shopping List,37606.549999999996
Vintage Red Kitchen Cabinet,37521.36
Set 2 Pantry Design Tea Towels,37497.97
Natural Slate Rectangle Chalkboard,37479.18
Retrospot Childrens Apron,37267.09
Set 6 School Milk Bottles In Crate,37238.22
Childrens Cutlery Polkadot Green,37071.85
Card I Love London,37005.409999999996
Heart Ivory Trellis Large,36902.74
Herb Marker Basil,36902.69
Magic Drawing Slate Dolly Girl,36872.369999999995
Pack Of 12 Pink Paisley Tissues,36817.43
Card Birthday Cowboy,36809.08
Pink Hanging Heart T-Light Holder,36803.4
Classic Cafe Sugar Dispenser,36732.649999999994
5 Hook Hanger Red Magic Toadstool,36638.35
Purple Drawerknob Acrylic Edwardian,36609.52
Christmas Craft White Fairy,36407.2
Jam Jar With Green Lid,36301.35
Picnic Basket Wicker Large,36275.93
Recipe Box Retrospot,36245.46
Pink Happy Birthday Bunting,36234.06
Glass Heart T-Light Holder,36181.48
Fairy Tale Cottage Night Light,36049.74
Empire Gift Wrap,36024.75
Card Christmas Village,36009.4
Picture Dominoes,35970.04
Traditional Christmas Ribbons,35836.74
Blue Polkadot Bowl,35739.33
Christmas Star Wish List Chalkboard,35673.5
Traditional Wooden Catch Cup Game,35569.479999999996
Large Ceramic Top Storage Jar,35565.21
Piggy Bank Retrospot,35558.19
Set Of 36 Teatime Paper Doilies,35374.11
Ivory Kitchen Scales,35336.4
Small Red Retrospot Windmill,35308.53
Magic Drawing Slate Circus Parade,35237.94
3 Stripey Mice Feltcraft,35216.8
Hanging Mini Coloured Bottles,35159.44
Love Hot Water Bottle,34991.03
Elephant Birthday Card,34982.15
Piece Of Camo Stationery Set,34975.880000000005
Washroom Metal Sign,34972.22
Roll Wrap Vintage Christmas,34871.75
Doormat English Rose,34868.03
Set Of 10 Led Dolly Lights,34845.6
Key Fob Shed,34823.59
Gin & Tonic Diet Greeting Card,34814.909999999996
Pantry Rolling Pin,34757.92
Folkart Star Christmas Decorations,34648.600000000006
Enamel Flower Jug Cream,34547.520000000004
Coffee Mug Apples Design,34507.31
Christmas Metal Postcard With Bells,34496.57
Set/2 Red Retrospot Tea Towels,34223.37
Wooden Union Jack Bunting,34099.4
Laundry 15c Metal Sign,33999.15
Set Of 6 Soldier Skittles,33987.71
Feng Shui Pillar Candle,33966.479999999996
Gin And Tonic Mug,33909.409999999996
Wrap Paisley Park,33896.0
Red Spotty Biscuit Tin,33888.44
Card Circus Parade,33872.19
Christmas Metal Tags Assorted,33692.409999999996
Scandinavian Reds Ribbons,33631.79
Lipstick Pen Red,33585.28
Letter Shape Pencil Sharpener,33579.590000000004
Doormat Welcome Puppies,33519.0
Pink Polkadot Cup,33413.259999999995
Set 12 Colour Pencils Spaceboy,33259.52
Travel Card Wallet Transport,33230.03
Set Of 6 Nativity Magnets,33153.93
Christmas Craft Tree Top Angel,33060.060000000005
Alarm Clock Bakelike Orange,33026.57
Love Building Block Word,32988.4
Set Of 36 Pantry Paper Doilies,32959.99
Traditional Naughts & Crosses,32870.01
Set Of 4 Jam Jar Magnets,32868.340000000004
Tea Time Tea Towels,32838.0
Folkart Zinc Heart Christmas Dec,32741.94
Strawberry Shopper Bag,32649.21
Storage Tin Vintage Doily,32564.320000000003
Scandinavian Paisley Picnic Bag,32554.89
Picnic Basket Wicker Small,32551.31
English Rose Notebook A7 Size,32525.649999999998
Set 3 Retrospot Tea/Coffee/Sugar,32468.23
Jazz Hearts Address Book,32303.64
Feltcraft Princess Charlotte Doll,32232.56
Jumbo Bag Paisley Park,32214.72
Metal 4 Hook Hanger French Chateau,32204.13
Pink Vintage Paisley Picnic Bag,32129.52
White Rocking Horse Hand Painted,32028.889999999996
Penny Farthing Birthday Card,31958.88
3 Hook Photo Shelf Antique White,31833.68
Recycled Pencil With Rabbit Eraser,31827.25
3 Piece Spaceboy Cookie Cutter Set,31803.72
Heart Filigree Dove Large,31761.51
Baking Set Spaceboy Design,31759.71
Pack Of 12 Spaceboy Tissues,31644.47
Assorted Bottle Top Magnets,31641.3
Camouflage Led Torch,31617.19
Zinc Willie Winkie Candle Stick,31512.829999999998
Ribbon Reel Stripes Design,31473.829999999998
Jumbo Bag Toys,31428.82
Red Retrospot Small Milk Jug,31331.48
Giant 50'S Christmas Cracker,31295.090000000004
House Shape Pencil Sharpener,31191.510000000002
Set Of 9 Black Skull Balloons,31140.799999999996
Set Of 5 Lucky Cat Magnets,31136.63
Set/20 Strawberry Paper Napkins,31098.95
Doormat Spotty Home Sweet Home,31080.16
Blue Happy Birthday Bunting,31030.079999999998
Wrap Circus Parade,31002.61
Set Of 9 Heart Shaped Balloons,30870.3
Small Heart Measuring Spoons,30819.149999999998
Travel Card Wallet Vintage Leaf,30793.19
Pack Of 12 Vintage Christmas Tissue,30629.250000000004
Alphabet Stencil Craft,30494.87
Fine Wicker Heart,30488.209999999995
Set 6 Paper Table Lantern Hearts,30446.19
Vintage Doily Jumbo Bag Red,30429.45
Red Retrospot Umbrella,30427.940000000002
Blue Polkadot Beaker,30321.620000000003
Retro Coffee Mugs Assorted,30297.949999999997
Happy Stencil Craft,30293.16
Red Kitchen Scales,30169.63
Mini Playing Cards Buffalo Bill,30153.04
Queens Guard Coffee Mug,30128.25
Set 7 Babushka Nesting Boxes,30034.96
Set 20 Napkins Fairy Cakes Design,29968.73
Pink Party Bags,29859.420000000002
Traditional Pick Up Sticks Game,29858.39
Red Retrospot Mini Cases,29855.809999999998
Victorian Metal Postcard Spring,29699.14
Roll Wrap Vintage Spot,29670.719999999998
Spaceboy Beaker,29669.84
Mini Jigsaw Dolly Girl,29546.769999999997
12 Pencils Tall Tube Red Retrospot,29514.09
Pack Of 6 Panettone Gift Boxes,29496.91
Ass Floral Print Multi Screwdriver,29367.29
Assorted Colour Mini Cases,29318.0
Vintage Christmas Cake Frill,29180.329999999998
Childrens Cutlery Spaceboy,29152.4
Love Heart Pocket Warmer,29126.48
Childrens Apron Apples Design,29113.03
Wrap Dolly Girl,29087.5
Pink Baby Bunting,29029.26
Fluted Antique Candle Holder,28834.969999999998
I'm On Holiday Metal Sign,28812.670000000002
Garage Key Fob,28796.32
Doormat Black Flock,28750.61
Pack Of Six Led Tea Lights,28731.370000000003
Embossed Glass Tealight Holder,28693.28
Small Folding Scissor(Pointed Edge),28677.579999999998
Vintage Christmas Stocking,28673.77
Card Gingham Rose,28549.399999999998
Wooden Happy Birthday Garland,28547.81
Ice Cream Bubbles,28518.61
Assorted Creepy Crawlies,28506.19
Asstd Fruit+Flowers Fridge Magnets,28440.420000000002
Set Of Salt And Pepper Toadstools,28437.179999999997
Coffee Mug Pears Design,28394.56
Pack 3 Boxes Bird Panettone,28378.91
Set Of 5 Pancake Day Magnets,28334.43
Treasure Island Book Box,28333.27
Cupcake Lace Paper Set 6,28319.32
Paint Your Own Canvas Set,28315.2
20 Dolly Pegs Retrospot,28291.649999999998
Potting Shed Tea Mug,28233.929999999997
Cream Cupid Hearts Coat Hanger,28151.04
Skull Shoulder Bag,28148.899999999998
Mini Playing Cards Spaceboy,28131.29
Feather Pen Coal Black,28126.27
Glitter Heart Decoration,28113.59
White Moroccan Metal Lantern,28022.46
Pack Of 6 Sandcastle Flags Assorted,28021.84
Biscuit Tin 50'S Christmas,27997.980000000003
Drawer Knob Crackle Glaze Ivory,27964.739999999998
Pantry Scrubbing Brush,27963.02
Christmas Lights 10 Reindeer,27691.66
Card Psychedelic Apples,27589.579999999998
Card Suki Birthday,27550.01
Musical Zinc Heart Decoration,27474.13
Dolly Girl Beaker,27450.28
Lipstick Pen Fuschia,27403.59
Mini Playing Cards Dolly Girl,27395.02
Coffee Mug Cat + Bird Design,27356.26
Ceramic Heart Fairy Cake Money Bank,27283.94
Star Wooden Christmas Decoration,27277.78
Blue Polkadot Plate,27262.7
Edwardian Parasol Red,27187.47
Feltcraft Princess Lola Doll,27158.04
Multicolour Spring Flower Mug,27152.22
Skull Lunch Box With Cutlery,27150.09
Birthday Card Retro Spot,27141.21
Magnets Pack Of 4 Swallows,27130.3
Set/6 Collage Paper Cups,27099.14
Alarm Clock Bakelike Chocolate,27046.59
Set Of 2 Tea Towels Apple And Pears,27042.22
Travel Card Wallet Union Jack,27032.52
Glass Bon Bon Jar,26964.81
Wall Tidy Retrospot,26864.51
Spaceboy Childrens Bowl,26862.78
Victorian Sewing Kit,26858.44
Box Of Vintage Alphabet Blocks,26839.1
Doormat Welcome To Our Home,26792.35
Red Floral Feltcraft Shoulder Bag,26763.77
Feltcraft Christmas Fairy,26686.539999999997
Pack Of 20 Skull Paper Napkins,26680.559999999998
Angel Decoration Stars On Dress,26660.469999999998
Pink Polkadot Plate,26603.69
Abc Treasure Book Box,26561.43
Assorted Laquered Incense Holders,26546.53
Christmas Retrospot Angel Wood,26512.7
Natural Slate Chalkboard Large,26467.2
Mini Playing Cards Gymkhana,26456.52
Ivory Diner Wall Clock,26391.7
Pack Of 6 Cocktail Parasol Straws,26338.05
Doormat Home Sweet Home Blue,26334.47
Chick Grey Hot Water Bottle,26303.309999999998
Small Hanging Ivory/Red Wood Bird,26290.94
Poppy's Playhouse Kitchen,26274.66
Vintage Kid Dolly Card,26266.52
Assorted Tutti Frutti Bracelet,26183.28
Red Drawer Knob Acrylic Edwardian,25993.51
Christmas Tree Painted Zinc,25987.88
Set/6 Collage Paper Plates,25975.190000000002
Mini Painted Garden Decoration,25902.100000000002
Heart Decoration Painted Zinc,25707.239999999998
Treasure Tin Gymkhana Design,25673.59
Assorted Tutti Frutti Pen,25670.97
Bundle Of 3 Retro Note Books,25612.29
Set Of 36 Paisley Flower Doilies,25607.61
Mini Jigsaw Circus Parade,25599.71
Wrap Red Vintage Doily,25563.65
Pack Of 6 Skull Paper Plates,25544.760000000002
Wooden Rounders Garden Set,25502.11
Rocking Horse Red Christmas,25491.2
Red Rocking Horse Hand Painted,25466.859999999997
Christmas Tree Star Decoration,25461.96
Sweetheart 3 Tier Cake Stand,25450.55
Set Of 4 Knick Knack Tins London,25410.98
Namaste Swagat Incense,25386.84
Ribbon Reel Snowy Village,25366.01
Red Diner Wall Clock,25316.8
Party Cone Christmas Decoration,25297.66
